CapacityRatio,ShareFlex,ShareStorage,ShareWind,SharePV,rNTC,Cost_[E/MWh],Congestion_[h],PeakLoad_[MW],MaxCurtailment_[MW],MaxLoadShedding_[MW],Demand_[TWh],NetImports_[TWh],Curtailment_[TWh],ENS_[TWh],CF_gas,CF_nuc,CF_wat,CF_win,CF_sun
1.71,0.68,0.24,0.03,0.25,0.44,4972.783836,0.858298277,440929.4125,711452.8518,3482.281843,2843.122475,0,854.220748,45.42106894,0.114751595,0.610739999,0.194939891,0.193114109,0.071146545
0.67,0.26,0.46,0.04,0.49,0.26,4723.393899,0.896696535,440929.4125,527295.8723,3482.281843,2843.122475,0,601.3400552,41.9217833,0.035578432,0.476062014,0.199226074,0.188417689,0.078704408
1,0.54,0.24,0.17,0.3,0.35,6603.445687,0.874053714,440929.4125,575882.3993,3482.281843,2843.122475,0,773.9383507,54.84351573,0.097106499,0.485216992,0.196127551,0.154265855,0.081071678
1.62,0.04,0.2,0.31,0.47,0.47,8717.98654,0.863547659,440929.4125,1807966.33,4162.221169,2843.122475,0,3525.932821,66.44127456,0.082551324,0.252704473,0.182267388,0.071737108,0.040648323
1.46,0.25,0.04,0.16,0.38,0.04,18468.78421,0.980489797,440929.4125,1140148.557,6996.515988,2843.122475,0,1895.679489,114.3914107,0.045645333,0.361272068,0.206700174,0.100407274,0.049876351
1.25,0.81,0.04,0.34,0.42,0.36,9588.977705,0.881397988,440929.4125,1234593.177,6703.719669,2843.122475,0,2236.775014,71.87989851,0.112838921,0.567145183,0.20351895,0.091699445,0.055358854
1.56,0.77,0.29,0.07,0.48,0.43,4094.550012,0.874284589,440929.4125,1433031.32,5107.00517,2843.122475,0,2098.03743,39.29530944,0.102766992,0.556684779,0.191956066,0.168814695,0.046692739
1.78,0.52,0.14,0.44,0.44,0.66,6122.830793,0.824281795,440929.4125,2089127.082,3482.281843,2843.122475,0,4513.519142,47.38468336,0.047942312,0.301084702,0.193437938,0.059655784,0.039486136
1.06,0.23,0.17,0.12,0.31,0.1,13170.962,0.954058186,440929.4125,622990.3357,4278.105415,2843.122475,0,839.0669638,89.11869468,0.040018381,0.385668175,0.197056432,0.151021065,0.073422836
1.16,0.93,0.27,0.35,0.22,0.16,8597.521648,0.883733477,440929.4125,729834.3332,4905.808746,2843.122475,0,1273.311977,67.92379461,0.172238135,0.836804635,0.187208951,0.105161903,0.083080282
0.61,0.5,0.22,0.02,0.34,0.4,6815.126577,0.843298653,440929.4125,270312.3668,3482.281843,2843.122475,0,211.1219928,55.74955314,0.109666976,0.650465658,0.196210451,0.209046311,0.103113539
1.47,0.98,0.34,0.38,0.32,0.58,5934.036752,0.748476829,440929.4125,1198931.515,3923.756907,2843.122475,0,2304.22177,43.07227715,0.146647713,0.740118133,0.177149143,0.08684919,0.062681887
1.33,0.09,0.46,0,0.4,0.14,5356.312489,0.943539979,440929.4125,926925.2975,4065.912448,2843.122475,0,1226.075619,50.42398781,0.052702352,0.422551284,0.19501586,0.181866381,0.057562634
1.67,0.07,0.08,0.24,0.24,0.41,14812.14241,0.867990191,440929.4125,944053.3582,4122.27643,2843.122475,0,1856.898117,96.82581676,0.061014161,0.335405575,0.187915237,0.089149158,0.060377026
1.43,0.87,0.19,0.32,0.26,0.22,8949.403949,0.920979787,440929.4125,986990.441,4905.808746,2843.122475,0,1916.759452,68.67244186,0.135255852,0.689273448,0.195457843,0.091114476,0.068859378
1.71,0.97,0.3,0.43,0.48,0.08,9073.862662,0.858993334,440929.4125,2070672.693,4905.808746,2843.122475,0,4287.549007,69.00628367,0.132488023,0.647154172,0.175844929,0.061082165,0.040724177
1.4,0.6,0.45,0.44,0.3,0.23,4053.175661,0.925254631,440929.4125,1246074.939,4112.271454,2843.122475,0,2721.128529,39.08825756,0.094841852,0.375122958,0.197111139,0.069744329,0.061759201
1.68,0.29,0.01,0.41,0.24,0.24,18835.26658,0.906509963,440929.4125,1323314.904,6703.719669,2843.122475,0,2894.679425,115.6411762,0.043037785,0.381418649,0.199682376,0.052872664,0.059734102
1.01,0.61,0.09,0.16,0.36,0.07,11801.79266,0.970545134,440929.4125,695440.1778,6703.719669,2843.122475,0,968.7681334,83.56649795,0.125489998,0.48196227,0.205234286,0.145345046,0.070472128
0.94,0.7,0.17,0.4,0.27,0.06,9465.319802,0.979267371,440929.4125,702948.3656,4905.808746,2843.122475,0,1340.399015,72.06941133,0.139563693,0.531353778,0.200650735,0.100961258,0.08278658
0.91,0.3,0.04,0.21,0.34,0.24,17766.46945,0.901175521,440929.4125,629799.1727,6703.719669,2843.122475,0,941.3909535,110.6144561,0.048593096,0.439983058,0.200144632,0.125171808,0.071521242
0.61,0.78,0.22,0.08,0.29,0.11,7590.44852,0.949132029,440929.4125,230660.0906,4905.808746,2843.122475,0,178.4773257,64.39617396,0.201598819,0.77943908,0.198435797,0.205363673,0.109673802
1.59,0.79,0.18,0.05,0.29,0.61,4526.047749,0.819710458,440929.4125,810225.3614,5907.65928,2843.122475,0,997.6245565,41.34357226,0.121015272,0.684687193,0.19088826,0.185122446,0.067962766
1.12,0.5,0.16,0.4,0.24,0.61,6453.092642,0.81026643,440929.4125,812762.969,3482.281843,2843.122475,0,1564.768392,50.31934731,0.070493366,0.425992666,0.192771664,0.096146026,0.080814281
0.76,0.1,0.12,0.37,0.22,0.38,14309.75605,0.847126328,440929.4125,491903.7133,3639.84332,2843.122475,0,791.5481578,93.8724194,0.04712952,0.412340573,0.186902401,0.120692433,0.094669523
0.5,0.01,0,0,0.5,0,15488.14009,0,440929.4125,345360.5488,5529.858907,2843.122475,0,404.5313021,73.89494427,0.181289141,0.569817273,0.217867403,0.128757549,0.078076197
0.5,0.99,0.5,0,0.5,0,5866.264705,0,440929.4125,290099.4145,4905.808746,2843.122475,0,240.1636693,56.20206857,0.295236215,0.889891236,0.195575768,0.201879163,0.09909229
0.84,0.77,0.31,0.49,0.3,0.57,3545.421141,0.842474792,440929.4125,721675.5952,3482.281843,2843.122475,0,1320.550097,32.56635243,0.11818473,0.641265048,0.193620638,0.105776476,0.089402953
